price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,furnishingstatus,locality
13300000,7420,4,2,3,yes,no,no,no,yes,2,furnished,gulshan
12250000,8960,4,4,4,yes,no,no,no,yes,3,furnished,mohakhali
12250000,9960,3,2,2,yes,no,yes,no,no,2,semi-furnished,bashundhara
12215000,7500,4,2,2,yes,no,yes,no,yes,3,furnished,bashundhara
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,furnished,azimpur
10850000,7500,3,3,1,yes,no,yes,no,yes,2,semi-furnished,banani
10150000,8580,4,3,4,yes,no,no,no,yes,2,semi-furnished,gulshan
10150000,16200,5,3,2,yes,no,no,no,no,0,unfurnished,banasree
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,furnished,banani
9800000,5750,3,2,4,yes,yes,no,no,yes,1,unfurnished,banani
9800000,13200,3,1,2,yes,no,yes,no,yes,2,furnished,gulshan
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,semi-furnished,azimpur
9310000,6550,4,2,2,yes,no,no,no,yes,1,semi-furnished,dhanmondi
9240000,3500,4,2,2,yes,no,no,yes,no,2,furnished,azimpur
9240000,7800,3,2,2,yes,no,no,no,no,0,semi-furnished,banani
9100000,6000,4,1,2,yes,no,yes,no,no,2,semi-furnished,azimpur
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,unfurnished,banani
8960000,8500,3,2,4,yes,no,no,no,yes,2,furnished,mohakhali
8890000,4600,3,2,2,yes,yes,no,no,yes,2,furnished,banasree
8855000,6420,3,2,2,yes,no,no,no,yes,1,semi-furnished,gulshan
8750000,4320,3,1,2,yes,no,yes,yes,no,2,semi-furnished,azimpur
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,unfurnished,paltan
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,furnished,mohakhali
8645000,4560,3,2,2,yes,yes,yes,no,yes,1,furnished,paltan
8575000,8800,3,2,2,yes,no,no,no,yes,2,furnished,azimpur
8540000,6540,4,2,2,yes,yes,yes,no,yes,2,furnished,banani
8463000,6000,3,2,4,yes,yes,yes,no,yes,0,semi-furnished,gulshan
8400000,8875,3,1,1,yes,no,no,no,no,1,semi-furnished,azimpur
8400000,7950,5,2,2,yes,no,yes,yes,no,2,unfurnished,azimpur
8400000,5500,4,2,2,yes,no,yes,no,yes,1,semi-furnished,dhanmondi
8400000,7475,3,2,4,yes,no,no,no,yes,2,unfurnished,banasree
8400000,7000,3,1,4,yes,no,no,no,yes,2,semi-furnished,azimpur
8295000,4880,4,2,2,yes,no,no,no,yes,1,furnished,bashundhara
8190000,5960,3,3,2,yes,yes,yes,no,no,1,unfurnished,mohakhali
8120000,6840,5,1,2,yes,yes,yes,no,yes,1,furnished,mohakhali
8080940,7000,3,2,4,yes,no,no,no,yes,2,furnished,mohakhali
8043000,7482,3,2,3,yes,no,no,yes,no,1,furnished,banani
7980000,9000,4,2,4,yes,no,no,no,yes,2,furnished,paltan
7962500,6000,3,1,4,yes,yes,no,no,yes,2,unfurnished,mohakhali
7910000,6000,4,2,4,yes,no,no,no,yes,1,semi-furnished,mohakhali
7875000,6550,3,1,2,yes,no,yes,no,yes,0,furnished,gulshan
7840000,6360,3,2,4,yes,no,no,no,yes,0,furnished,dhanmondi
7700000,6480,3,2,4,yes,no,no,no,yes,2,unfurnished,banasree
7700000,6000,4,2,4,yes,no,no,no,no,2,semi-furnished,banasree
7560000,6000,4,2,4,yes,no,no,no,yes,1,furnished,paltan
7560000,6000,3,2,3,yes,no,no,no,yes,0,semi-furnished,azimpur
7525000,6000,3,2,4,yes,no,no,no,yes,1,furnished,azimpur
7490000,6600,3,1,4,yes,no,no,no,yes,3,furnished,gulshan
7455000,4300,3,2,2,yes,no,yes,no,no,1,unfurnished,azimpur
7420000,7440,3,2,1,yes,yes,yes,no,yes,0,semi-furnished,gulshan
7420000,7440,3,2,4,yes,no,no,no,no,1,unfurnished,banani
7420000,6325,3,1,4,yes,no,no,no,yes,1,unfurnished,banasree
7350000,6000,4,2,4,yes,yes,no,no,yes,1,furnished,paltan
7350000,5150,3,2,4,yes,no,no,no,yes,2,semi-furnished,paltan
7350000,6000,3,2,2,yes,yes,no,no,yes,1,semi-furnished,mohakhali
7350000,6000,3,1,2,yes,no,no,no,yes,1,unfurnished,mohakhali
7343000,11440,4,1,2,yes,no,yes,no,no,1,semi-furnished,dhanmondi
7245000,9000,4,2,4,yes,yes,no,no,yes,1,furnished,gulshan
7210000,7680,4,2,4,yes,yes,no,no,yes,1,semi-furnished,banasree
7210000,6000,3,2,4,yes,yes,no,no,yes,1,furnished,banasree
7140000,6000,3,2,2,yes,yes,no,no,no,1,semi-furnished,azimpur
7070000,8880,2,1,1,yes,no,no,no,yes,1,semi-furnished,azimpur
7070000,6240,4,2,2,yes,no,no,no,yes,1,furnished,paltan
7035000,6360,4,2,3,yes,no,no,no,yes,2,furnished,bashundhara
